Doctorate,Masters,Bachelors,Diploma,Certificate
Doctor of Philosophy in Anthropology,Master of Arts in Literature,Bachelor of Arts in Language and Communication with IT,Diploma in Strategic Management,Certificate in Project design & Implementation
Doctor of Philosophy in Counselling Psychology,Masters of Arts Sociology,Bachelor of Arts (Kiswahili) with IT,Diploma in Enterpreneurship,Certificate in Human Resource Management
Doctor of Philosophy in French,Masters of Arts Social Policy,Bachelor of Arts in Communication Media Technology with IT,Diploma in Management of NGO's,Certificate in Strategic Purchasing & Supply Management
Doctor of Philosophy in Religion,Masters of Arts Anthropology,Bachelor of Arts in Communication Media Technology with IT,Diploma in Enterprise Management,Certificate in Youth & Women Group Programmes Management
Doctor of Philosophy in Philosophy,Master of Arts in Counselling Psychology,Bachelor of Arts program in Literature,Diploma in Health care Economics,Certificate in Management of Transport System
Doctor of Philosophy in Geography,Masters of Arts (French Studies),Bachelor of Arts in Criminology,Diploma in Project Management,Certificate in Guidance & Counselling
Doctor of Philosophy in Textile and Fashion Design,Master of Arts in Religion,Bachelor of Arts in Anthropology,Diploma in E-Commerce & e-Business,Certificate in Disability studies
Doctor of Philosophy in Communication and Media Studies,Master of Arts in Philosophy,Bachelor of Arts in Sociology,Diploma in Hospitality Management,Certificate in Special Needs Education
Doctor of Philosophy in Theology,Master of Arts in Fine Art,Bachelor of Arts in History and Archaeology,Diploma in Travel and Tourism,Certificate in School Administarion
Doctor of Philosophy in History,Masters of Arts in Interior Design,Bachelor of Arts in Counselling Psychology with Information Technology (IT),Diploma in Enterpreneurship Education,Certificate in Sign Language
Doctor of Philosophy in Music,Master of Arts in Geography,Bachelor of Arts (French) with IT/Bachelor of Education (French with IT),Diploma in Environmental Education,Certificate in Braille
Doctor of Philosophy in French Studies,Master of Arts in Music,Bachelor of Arts in Philosophy with IT,Diploma in Disability,Certificate in Special & Inclusive Education
Doctor of Philosophy in Design,Master of Arts in Communication and Media Studies,Bachelor of Arts in Religion with IT,Diploma in Early childhood Education,Certificate in Gender & Development in Education
Doctor of Philosophy in Accounting,Master of Arts in Anthropology,Bachelor of Arts in Fine Art with IT,Diploma in Sign Language,Certificate in Adult Education
Doctor of Philosophy in Finance,Master of Arts in Sociology,Bachelor of Arts in Design (Interior Design with IT),Diploma in Special needs Education,Certificate in Entrepreneurship Education
Doctor of Philosophy in Tourism Management,Master in Social Development and Management,Bachelor of Arts in Design (Fashion Design with IT),Diploma in Guidance & Counselling,Certificate in ICT Application in Education
Doctor of Philosophy in Hospitality Management,Master in Arts Social Policy,Bachelor of Science in Geography and Natural Resource Management with IT,Diploma in School Administration,Certificate in Education Evaluation
Doctor of Philosophy in Economics,Master of Arts in Social Science Research Methods,Bachelor of Science in Climate Change and Development with IT,Diploma in Educational Administration,Certificate in Pedagogical Skills
Doctor of Philosophy in Management Information Systems,Master of Arts in Kiswahili,Bachelor of Science in Ecotourism Management with IT,Diploma in Pedagogical Skills,Certificate in Special and Inclusive Education
Doctor of Philosophy in Operations Management,Master of Arts in Gender Studies,Bachelor of Science in Hotel and Institution Management with IT,Diploma in Education Evaluation,Certificate in Public Administration
Doctor of Philosophy in Procurement and Supply Chain Management,Master of Arts in Gender and Development,Bachelor of Arts in Drama and Theatre Studies with IT,Diploma in ICT Application in Education,Certificate in Community Development
Doctor of Philosophy in Business Administration,Master of Arts in History,Bachelor of Arts in Sociology and Anthropology with IT,Diploma in Diplomacy,Certificate in Peace And Security Studies
