Category,Detail,Additional Info
Program Information,Doctorate,Doctor of Philosophy in Applied Statistics
Program Information,Doctorate,Doctor of Philosophy in Pure Mathematics
Program Information,Doctorate,Doctor of Philosophy in Applied Mathematics
Program Information,Doctorate,Doctor of Philosophy in Computer Science
Program Information,Doctorate,Doctor of Philosophy in Information Technology
Program Information,Doctorate,Doctor of Philosophy in Computer Technology
Program Information,Doctorate,Doctor of Philosophy in Information Systems
Program Information,Masters,Master of Science in Animal Science
Program Information,Masters,Master of Science in Agricultural Economics
Program Information,Masters,Master of Science in Agricultural Extension
Program Information,Masters,Master of Science in Soil Science
Program Information,Masters,Master of Science in Agri-Business Management
Program Information,Masters,Master of Science in Agronomy
Program Information,Masters,Master of Science in Genetics and Plant Breeding
Program Information,Masters,Master of Science in Urban Environmental Planning and Management
Program Information,Masters,Master of Science in Environmental Sciences
Program Information,Masters,Master of Arts in Fine Art
Program Information,Masters,Master of Arts in Interior Design
Program Information,Masters,Master of Arts in Linguistics
Program Information,Masters,Master of Arts in Theoretical Linguistics
Program Information,Masters,Master of Arts in Applied Linguistics
Program Information,Masters,Master of Arts in Kiswahili Studies
Program Information,Masters,Masters in Communication and Media
Program Information,Masters,Master of Arts in Literature
Program Information,Masters,Masters of Arts Sociology
Program Information,Masters,Masters of Arts Social Policy
Program Information,Masters,Masters of Arts Anthropology
Program Information,Masters,Master of Arts in Counselling Psychology
Program Information,Masters,Masters of Arts (French Studies)
Program Information,Masters,Master of Arts in Religion
Program Information,Masters,Master of Arts in Philosophy
Program Information,Masters,Master of Arts in Fine Art
Program Information,Masters,Masters of Arts in Interior Design
Program Information,Masters,Master of Arts in Geography
Program Information,Masters,Master of Arts in Music
Program Information,Masters,Master of Arts in Communication and Media Studies
Program Information,Masters,Master of Arts in Anthropology
Program Information,Masters,Master of Arts in Sociology
Program Information,Masters,Master in Social Development and Management
Program Information,Masters,Master in Arts Social Policy
Program Information,Masters,Master of Arts in Social Science Research Methods
Program Information,Masters,Master of Arts in Kiswahili
Program Information,Masters,Master of Arts in Gender Studies
Program Information,Masters,Master of Arts in Gender and Development
Program Information,Masters,Master of Arts in History
Program Information,Masters,Master of Arts in Psychology
Program Information,Masters,Master of Arts in Counselling Psychology
Program Information,Masters,Master of Arts in French Studies
Program Information,Masters,Master of Arts in Fashion Design
Program Information,Masters,Master of Science in Finance
